book_id,borrower_id,borrow_date,return_date
25,18,2024-07-27 00:00:00,
24,5,2024-05-01 00:00:00,
26,26,2024-03-31 00:00:00,
1,6,2025-01-12 00:00:00,
26,30,2024-07-29 00:00:00,
28,24,2024-05-07 00:00:00,2024-06-27 00:00:00
23,4,2024-07-14 00:00:00,
28,16,2024-04-23 00:00:00,2024-06-21 00:00:00
15,12,2024-06-05 00:00:00,
28,8,2024-04-24 00:00:00,2024-05-07 00:00:00
13,11,2024-05-22 00:00:00,
25,9,2024-06-28 00:00:00,2024-07-24 00:00:00
22,27,2024-10-01 00:00:00,2024-10-03 00:00:00
4,29,2024-05-13 00:00:00,2024-05-30 00:00:00
2,4,2024-11-01 00:00:00,2024-12-18 00:00:00
26,11,2024-08-11 00:00:00,2024-09-13 00:00:00
4,13,2024-10-22 00:00:00,2024-10-25 00:00:00
23,14,2024-01-01 00:00:00,2024-02-22 00:00:00
18,22,2025-01-03 00:00:00,
24,22,2024-04-10 00:00:00,2024-04-15 00:00:00
22,30,2024-06-18 00:00:00,2024-07-31 00:00:00
28,4,2025-01-03 00:00:00,
17,10,2024-12-07 00:00:00,2025-01-02 00:00:00
23,10,2024-10-10 00:00:00,2024-11-06 00:00:00
22,13,2024-12-12 00:00:00,
6,20,2024-10-18 00:00:00,2024-11-23 00:00:00
27,1,2024-06-04 00:00:00,2024-07-02 00:00:00
26,19,2024-11-06 00:00:00,2024-12-06 00:00:00
15,15,2024-12-11 00:00:00,2025-01-11 00:00:00
26,29,2025-01-11 00:00:00,2025-01-17 00:00:00
10,17,2024-12-05 00:00:00,2024-12-27 00:00:00
3,27,2025-01-19 00:00:00,2025-02-08 00:00:00
8,26,2024-04-11 00:00:00,2024-04-14 00:00:00
8,16,2024-11-08 00:00:00,
3,15,2024-07-31 00:00:00,
19,7,2025-01-02 00:00:00,2025-02-03 00:00:00
13,8,2024-03-16 00:00:00,2024-03-17 00:00:00
29,25,2025-01-29 00:00:00,
25,14,2024-04-22 00:00:00,2024-06-06 00:00:00
17,15,2024-01-26 00:00:00,2024-03-25 00:00:00
28,4,2024-08-21 00:00:00,2024-09-20 00:00:00
22,17,2024-10-13 00:00:00,2024-12-01 00:00:00
29,15,2024-11-09 00:00:00,
29,17,2024-08-06 00:00:00,
18,15,2024-03-22 00:00:00,
16,15,2024-05-12 00:00:00,
27,21,2024-05-21 00:00:00,
17,16,2024-11-16 00:00:00,2024-12-15 00:00:00
3,23,2024-05-26 00:00:00,2024-06-17 00:00:00
11,29,2024-10-03 00:00:00,2024-10-13 00:00:00
8,13,2024-12-21 00:00:00,2025-01-04 00:00:00
3,14,2024-07-27 00:00:00,2024-08-26 00:00:00
14,2,2024-04-15 00:00:00,
13,29,2025-01-29 00:00:00,2025-03-15 00:00:00
1,28,2025-01-26 00:00:00,2025-02-26 00:00:00
1,12,2024-06-01 00:00:00,
28,29,2024-08-02 00:00:00,2024-09-19 00:00:00
18,26,2024-11-04 00:00:00,
16,8,2024-05-19 00:00:00,2024-05-21 00:00:00
13,11,2024-12-08 00:00:00,2025-01-03 00:00:00
24,6,2024-08-27 00:00:00,
20,18,2024-01-14 00:00:00,
19,19,2024-12-05 00:00:00,2025-01-16 00:00:00
14,5,2024-08-24 00:00:00,2024-09-10 00:00:00
13,11,2024-04-18 00:00:00,2024-05-10 00:00:00
25,29,2024-07-13 00:00:00,2024-09-05 00:00:00
14,9,2024-02-11 00:00:00,2024-03-30 00:00:00
18,2,2024-06-28 00:00:00,2024-07-03 00:00:00
25,21,2024-01-21 00:00:00,
8,7,2024-01-11 00:00:00,2024-01-27 00:00:00
5,16,2024-12-08 00:00:00,2024-12-22 00:00:00
15,23,2024-05-11 00:00:00,
6,20,2024-11-06 00:00:00,
23,4,2025-02-02 00:00:00,
10,4,2024-10-23 00:00:00,2024-11-12 00:00:00
19,22,2024-07-11 00:00:00,2024-08-26 00:00:00
7,3,2024-10-30 00:00:00,2024-12-10 00:00:00
8,4,2024-12-22 00:00:00,
28,22,2024-11-03 00:00:00,
26,19,2025-02-04 00:00:00,2025-03-11 00:00:00
14,22,2024-07-08 00:00:00,2024-08-19 00:00:00
11,1,2024-08-03 00:00:00,
4,14,2024-07-04 00:00:00,2024-08-27 00:00:00
15,23,2024-03-19 00:00:00,2024-05-05 00:00:00
17,21,2024-05-18 00:00:00,2024-07-16 00:00:00
18,25,2024-09-04 00:00:00,2024-10-27 00:00:00
24,19,2024-05-17 00:00:00,2024-06-02 00:00:00
27,30,2024-02-14 00:00:00,2024-03-14 00:00:00
8,25,2024-08-25 00:00:00,2024-10-07 00:00:00
13,11,2024-01-15 00:00:00,2024-02-05 00:00:00
6,16,2024-04-18 00:00:00,2024-05-05 00:00:00
11,9,2024-11-01 00:00:00,
9,18,2024-01-06 00:00:00,2024-01-19 00:00:00
3,8,2025-01-03 00:00:00,2025-02-08 00:00:00
25,8,2024-12-19 00:00:00,2025-02-03 00:00:00
16,15,2024-01-09 00:00:00,2024-01-24 00:00:00
13,23,2024-05-04 00:00:00,2024-06-11 00:00:00
12,16,2024-10-10 00:00:00,2024-11-07 00:00:00
24,18,2024-06-18 00:00:00,2024-07-18 00:00:00
9,10,2024-05-08 00:00:00,2024-06-24 00:00:00
7,11,2024-03-02 00:00:00,
25,23,2024-04-04 00:00:00,2024-05-22 00:00:00
16,9,2025-01-05 00:00:00,2025-02-23 00:00:00
17,20,2024-05-24 00:00:00,
27,7,2024-05-31 00:00:00,2024-06-12 00:00:00
10,1,2024-12-28 00:00:00,2025-01-15 00:00:00
2,2,2024-10-10 00:00:00,2024-10-19 00:00:00
21,28,2025-01-20 00:00:00,2025-03-17 00:00:00
1,19,2024-05-25 00:00:00,2024-06-23 00:00:00
11,6,2024-01-27 00:00:00,2024-03-23 00:00:00
16,4,2024-02-03 00:00:00,2024-02-08 00:00:00
19,21,2024-12-17 00:00:00,2024-12-27 00:00:00
6,15,2024-01-02 00:00:00,
29,24,2024-05-14 00:00:00,
25,6,2024-09-16 00:00:00,
28,21,2024-06-01 00:00:00,
17,20,2024-04-11 00:00:00,2024-05-30 00:00:00
6,18,2025-02-02 00:00:00,
30,1,2024-11-02 00:00:00,2024-11-04 00:00:00
4,30,2024-07-04 00:00:00,
